"Pathway","Mummichog Pvals","GSEA Pvals","Combined Pvals"
"Heparan sulfate degradation",0.73308,0.009747,0.042452526321783
"Prostaglandin formation from dihomo gama-linoleic acid",0.73308,0.1207,0.303048802220583
"Androgen and estrogen biosynthesis and metabolism",0.92166,0.1828,0.468531490012086
"Pyrimidine metabolism",0.90436,0.05204,0.19089982516887
"Putative anti-Inflammatory metabolites formation from EPA",0.9068,0.01089,0.0554755111837346
"Butanoate metabolism",0.8993,0.5453,0.839818277882498
"Starch and Sucrose Metabolism",0.89309,0.001887,0.0124470583075854
"Glycosphingolipid metabolism",0.93448,0.4,0.741624180363821
"Aminosugars metabolism",0.93099,0.01484,0.0729746522318975
"Squalene and cholesterol biosynthesis",0.89114,0.7322,0.931077937892488
"Drug metabolism - other enzymes",0.89114,0.1632,0.42583562983746
"Beta-Alanine metabolism",0.89114,0.8556,0.969242973283995
"C21-steroid hormone biosynthesis and metabolism",0.97302,0.03655,0.154220093234209
"Vitamin E metabolism",0.95456,0.46,0.800489664057089
"Tyrosine metabolism",0.97965,0.2525,0.592902054614158
"Histidine metabolism",0.95834,0.8288,0.977216163655117
"Alanine and Aspartate Metabolism",0.95834,0.8547,0.982549312464224
"Pentose and Glucuronate Interconversions",0.95834,0.007767,0.0439193736239209
"De novo fatty acid biosynthesis",0.98121,0.8553,0.986322049549251
"Phosphatidylinositol phosphate metabolism",0.98121,0.07421,0.263579718256321
"Glycerophospholipid metabolism",0.99026,0.4612,0.814635033591756
"Galactose metabolism",0.99062,0.001808,0.0131193003209831
"Biopterin metabolism",0.99456,0.7714,0.970514899732208
"Ascorbate (Vitamin C) and Aldarate Metabolism",0.99456,0.00369,0.0242493457566603
"Valine, leucine and isoleucine degradation",0.99718,0.861,0.989491120806667
"Glycine, serine, alanine and threonine metabolism",0.99893,0.2411,0.583708114784131
"Bile acid biosynthesis",0.99957,0.5421,0.873887647922833
"Arachidonic acid metabolism",0.99999,0.01504,0.0781628798494622
"Vitamin A (retinol) metabolism",0.99999,0.02941,0.133120990560154
"Hyaluronan Metabolism",0.68949,0.1479,0.334788042482722
"Glycolysis and Gluconeogenesis",0.99974,0.3958,0.762550350820387
"Hexose phosphorylation",0.99953,0.001887,0.0137181478899805
"Vitamin B2 (riboflavin) metabolism",0.68949,0.4872,0.702368648039524
"Keratan sulfate degradation",0.90389,0.02372,0.103824174999655
"Vitamin B1 (thiamin) metabolism",0.44254,0.5122,0.563105726566766
"Glycosphingolipid biosynthesis - lactoseries",0.44254,0.1184,0.206910046089353
"Parathio degradation",0.82718,0.5695,0.825674053898866
"Blood Group Biosynthesis",0.44254,0.1184,0.206910046089353
"Vitamin H (biotin) metabolism",0.82718,0.5811,0.832799644584238
"Lipoate metabolism",0.68949,0.7657,0.865175219011026
"Glyoxylate and Dicarboxylate Metabolism",0.68949,0.07495,0.204783458894644
"Fructose and mannose metabolism",0.99953,0.9084,0.995629296370172
"CoA Catabolism",0.68949,0.5266,0.73093350213225
"Glycosphingolipid biosynthesis - neolactoseries",0.44254,0.1184,0.206910046089353
"Dynorphin metabolism",0.82718,0.7124,0.900924586230451
"Polyunsaturated fatty acid biosynthesis",0.68949,0.7041,0.83628889978556
"Keratan sulfate biosynthesis",0.44254,0.1184,0.206910046089353
"TCA cycle",0.9466,0.5614,0.867385894900167
"O-Glycan biosynthesis",0.44254,0.1184,0.206910046089353
"Vitamin B6 (pyridoxine) metabolism",0.82718,0.6351,0.863507703921224
"N-Glycan Degradation",0.97035,0.07184,0.255376266477951
"1- and 2-Methylnaphthalene degradation",0.68949,0.1172,0.284095587132213
"Phytanic acid peroxisomal oxidation",0.9466,0.6503,0.914250564734049
"Pentose phosphate pathway",0.99953,0.001908,0.0138497075863642
