Term	Description	p.Val	Gene_Hits	Gene_Total	Gene_Ratio	Ionization
PROLINE BIOSYNTHESIS II (FROM ARGININE)	PROLINE BIOSYNTHESIS II (FROM ARGININE)	1	3	16	0.1875	negative
TYROSINE BIOSYNTHESIS IV	TYROSINE BIOSYNTHESIS IV	1	2	5	0.4	negative
GLUCONEOGENESIS I	GLUCONEOGENESIS I	1	2	23	0.0869565217391304	negative
UDP-D-XYLOSE AND UDP-D-GLUCURONATE BIOSYNTHESIS	UDP-D-XYLOSE AND UDP-D-GLUCURONATE BIOSYNTHESIS	1	1	8	0.125	negative
GDP-GLUCOSE BIOSYNTHESIS	GDP-GLUCOSE BIOSYNTHESIS	1	2	10	0.2	negative
GDP-L-FUCOSE BIOSYNTHESIS II (FROM L-FUCOSE)	GDP-L-FUCOSE BIOSYNTHESIS II (FROM L-FUCOSE)	1	1	8	0.125	negative
GDP-MANNOSE BIOSYNTHESIS	GDP-MANNOSE BIOSYNTHESIS	1	1	8	0.125	negative
MEVALONATE PATHWAY I	MEVALONATE PATHWAY I	1	2	17	0.117647058823529	negative
COENZYME A BIOSYNTHESIS	COENZYME A BIOSYNTHESIS	1	1	13	0.0769230769230769	negative
MOLYBDENUM COFACTOR BIOSYNTHESIS	MOLYBDENUM COFACTOR BIOSYNTHESIS	1	1	18	0.0555555555555556	negative
NAD BIOSYNTHESIS FROM 2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE	NAD BIOSYNTHESIS FROM 2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE	1	2	14	0.142857142857143	negative
TETRAHYDROBIOPTERIN BIOSYNTHESIS I	TETRAHYDROBIOPTERIN BIOSYNTHESIS I	1	1	10	0.1	negative
TETRAHYDROBIOPTERIN BIOSYNTHESIS II	TETRAHYDROBIOPTERIN BIOSYNTHESIS II	1	1	11	0.0909090909090909	negative
TETRAPYRROLE BIOSYNTHESIS II	TETRAPYRROLE BIOSYNTHESIS II	1	2	11	0.181818181818182	negative
1,25-DIHYDROXYVITAMIN D<SUB>3</SUB> BIOSYNTHESIS	1,25-DIHYDROXYVITAMIN D<SUB>3</SUB> BIOSYNTHESIS	1	1	12	0.0833333333333333	negative
RETINOL BIOSYNTHESIS	RETINOL BIOSYNTHESIS	1	1	17	0.0588235294117647	negative
PYRIDOXAL 5'-PHOSPHATE SALVAGE PATHWAY	PYRIDOXAL 5'-PHOSPHATE SALVAGE PATHWAY	1	1	13	0.0769230769230769	negative
PREGNENOLONE BIOSYNTHESIS	PREGNENOLONE BIOSYNTHESIS	1	2	9	0.222222222222222	negative
ESTROGEN BIOSYNTHESIS	ESTROGEN BIOSYNTHESIS	1	2	18	0.111111111111111	negative
GLUCOCORTICOID BIOSYNTHESIS	GLUCOCORTICOID BIOSYNTHESIS	1	1	15	0.0666666666666667	negative
MINERALOCORTICOID BIOSYNTHESIS	MINERALOCORTICOID BIOSYNTHESIS	1	1	16	0.0625	negative
CERAMIDE BIOSYNTHESIS	CERAMIDE BIOSYNTHESIS	1	2	12	0.166666666666667	negative
FATTY ACID BIOSYNTHESIS INITIATION II	FATTY ACID BIOSYNTHESIS INITIATION II	1	1	7	0.142857142857143	negative
&GAMMA;-LINOLENATE BIOSYNTHESIS II (ANIMALS)	&GAMMA;-LINOLENATE BIOSYNTHESIS II (ANIMALS)	1	2	11	0.181818181818182	negative
OLEATE BIOSYNTHESIS II (ANIMALS)	OLEATE BIOSYNTHESIS II (ANIMALS)	1	2	9	0.222222222222222	negative
STEARATE BIOSYNTHESIS I (ANIMALS)	STEARATE BIOSYNTHESIS I (ANIMALS)	1	3	17	0.176470588235294	negative
BILE ACID BIOSYNTHESIS, NEUTRAL PATHWAY	BILE ACID BIOSYNTHESIS, NEUTRAL PATHWAY	1	5	48	0.104166666666667	negative
5-AMINOIMIDAZOLE RIBONUCLEOTIDE BIOSYNTHESIS I	5-AMINOIMIDAZOLE RIBONUCLEOTIDE BIOSYNTHESIS I	1	2	17	0.117647058823529	negative
PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO</I> BIOSYNTHESIS I	PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO</I> BIOSYNTHESIS I	1	2	26	0.0769230769230769	negative
URIDINE-5'-PHOSPHATE BIOSYNTHESIS	URIDINE-5'-PHOSPHATE BIOSYNTHESIS	1	3	20	0.15	negative
SALVAGE PATHWAYS OF PYRIMIDINE RIBONUCLEOTIDES	SALVAGE PATHWAYS OF PYRIMIDINE RIBONUCLEOTIDES	1	1	19	0.0526315789473684	negative
EPOXYSQUALENE BIOSYNTHESIS	EPOXYSQUALENE BIOSYNTHESIS	1	1	12	0.0833333333333333	negative
METHYLTHIOPROPIONATE BIOSYNTHESIS	METHYLTHIOPROPIONATE BIOSYNTHESIS	1	1	6	0.166666666666667	negative
L-DOPACHROME BIOSYNTHESIS	L-DOPACHROME BIOSYNTHESIS	1	2	8	0.25	negative
SPERMINE BIOSYNTHESIS	SPERMINE BIOSYNTHESIS	1	1	7	0.142857142857143	negative
HISTAMINE BIOSYNTHESIS	HISTAMINE BIOSYNTHESIS	1	2	4	0.5	negative
PUTRESCINE BIOSYNTHESIS III	PUTRESCINE BIOSYNTHESIS III	1	1	4	0.25	negative
SPERMIDINE BIOSYNTHESIS I	SPERMIDINE BIOSYNTHESIS I	1	1	7	0.142857142857143	negative
INOSITOL PYROPHOSPHATES BIOSYNTHESIS	INOSITOL PYROPHOSPHATES BIOSYNTHESIS	1	4	11	0.363636363636364	negative
PHENYLETHYLAMINE DEGRADATION I	PHENYLETHYLAMINE DEGRADATION I	1	2	10	0.2	negative
HISTAMINE DEGRADATION	HISTAMINE DEGRADATION	1	3	18	0.166666666666667	negative
PUTRESCINE DEGRADATION III	PUTRESCINE DEGRADATION III	1	5	15	0.333333333333333	negative
SPERMINE AND SPERMIDINE DEGRADATION I	SPERMINE AND SPERMIDINE DEGRADATION I	1	2	13	0.153846153846154	negative
OXIDATIVE ETHANOL DEGRADATION III	OXIDATIVE ETHANOL DEGRADATION III	1	3	15	0.2	negative
METHYLGLYOXAL DEGRADATION VI	METHYLGLYOXAL DEGRADATION VI	1	4	11	0.363636363636364	negative
METHYLGLYOXAL DEGRADATION I	METHYLGLYOXAL DEGRADATION I	1	3	9	0.333333333333333	negative
2-OXOISOVALERATE DECARBOXYLATION TO ISOBUTANOYL-COA	2-OXOISOVALERATE DECARBOXYLATION TO ISOBUTANOYL-COA	1	2	10	0.2	negative
2-OXOGLUTARATE DECARBOXYLATION TO SUCCINYL-COA	2-OXOGLUTARATE DECARBOXYLATION TO SUCCINYL-COA	1	1	10	0.1	negative
L-DOPA DEGRADATION	L-DOPA DEGRADATION	1	2	12	0.166666666666667	negative
4-HYDROXYPROLINE DEGRADATION I	4-HYDROXYPROLINE DEGRADATION I	1	3	13	0.230769230769231	negative
&BETA;-ALANINE DEGRADATION I	&BETA;-ALANINE DEGRADATION I	1	3	9	0.333333333333333	negative
L-CYSTEINE DEGRADATION I	L-CYSTEINE DEGRADATION I	1	4	10	0.4	negative
GLUTAMATE DEGRADATION III (VIA 4-AMINOBUTYRATE)	GLUTAMATE DEGRADATION III (VIA 4-AMINOBUTYRATE)	1	4	10	0.4	negative
HISTIDINE DEGRADATION VI	HISTIDINE DEGRADATION VI	1	2	16	0.125	negative
ISOLEUCINE DEGRADATION I	ISOLEUCINE DEGRADATION I	1	3	18	0.166666666666667	negative
LEUCINE DEGRADATION I	LEUCINE DEGRADATION I	1	5	22	0.227272727272727	negative
LYSINE DEGRADATION II	LYSINE DEGRADATION II	1	3	17	0.176470588235294	negative
CITRULLINE DEGRADATION	CITRULLINE DEGRADATION	1	1	9	0.111111111111111	negative
PHENYLALANINE DEGRADATION I (AEROBIC)	PHENYLALANINE DEGRADATION I (AEROBIC)	1	2	10	0.2	negative
TRYPTOPHAN DEGRADATION TO 2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE	TRYPTOPHAN DEGRADATION TO 2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE	1	3	13	0.230769230769231	negative
VALINE DEGRADATION I	VALINE DEGRADATION I	1	6	20	0.3	negative
PYRUVATE DECARBOXYLATION TO ACETYL COA	PYRUVATE DECARBOXYLATION TO ACETYL COA	1	2	10	0.2	negative
GLUTARYL-COA DEGRADATION	GLUTARYL-COA DEGRADATION	1	1	14	0.0714285714285714	negative
2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE DEGRADATION TO GLUTARYL-COA	2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE DEGRADATION TO GLUTARYL-COA	1	2	12	0.166666666666667	negative
HEME DEGRADATION	HEME DEGRADATION	1	2	12	0.166666666666667	negative
SUCROSE DEGRADATION V (MAMMALIAN)	SUCROSE DEGRADATION V (MAMMALIAN)	1	4	12	0.333333333333333	negative
FATTY ACID &ALPHA;-OXIDATION III	FATTY ACID &ALPHA;-OXIDATION III	1	1	18	0.0555555555555556	negative
SEROTONIN DEGRADATION	SEROTONIN DEGRADATION	1	3	20	0.15	negative
MELATONIN DEGRADATION II	MELATONIN DEGRADATION II	1	4	13	0.307692307692308	negative
THYMINE DEGRADATION	THYMINE DEGRADATION	1	1	10	0.1	negative
SULFITE OXIDATION IV	SULFITE OXIDATION IV	1	2	5	0.4	negative
&ALPHA;-TOCOPHEROL DEGRADATION	&ALPHA;-TOCOPHEROL DEGRADATION	1	2	9	0.222222222222222	negative
NICOTINE DEGRADATION IV	NICOTINE DEGRADATION IV	1	4	30	0.133333333333333	negative
D-GLUCURONATE DEGRADATION I	D-GLUCURONATE DEGRADATION I	1	2	11	0.181818181818182	negative
SUPEROXIDE RADICALS DEGRADATION	SUPEROXIDE RADICALS DEGRADATION	1	1	5	0.2	negative
OXIDIZED GTP AND DGTP DETOXIFICATION	OXIDIZED GTP AND DGTP DETOXIFICATION	1	2	10	0.2	negative
GLUTAMATE DEPENDENT ACID RESISTANCE	GLUTAMATE DEPENDENT ACID RESISTANCE	1	2	4	0.5	negative
PYRUVATE FERMENTATION TO LACTATE	PYRUVATE FERMENTATION TO LACTATE	1	2	5	0.4	negative
KETOGENESIS	KETOGENESIS	1	3	12	0.25	negative
PENTOSE PHOSPHATE PATHWAY (OXIDATIVE BRANCH)	PENTOSE PHOSPHATE PATHWAY (OXIDATIVE BRANCH)	1	1	11	0.0909090909090909	negative
