"Pathway","Mummichog Pvals","GSEA Pvals","Combined Pvals"
"salvage pathways of pyrimidine ribonucleotides",0.17049,0.1161,0.0974330834240526
"epoxysqualene biosynthesis",0.17049,0.06751,0.0628958618902677
"methylthiopropionate biosynthesis",0.17049,0.06751,0.0628958618902677
"L-dopachrome biosynthesis",0.31238,0.6913,0.546935759762079
"spermine biosynthesis",0.17049,0.5232,0.3047860715631
"histamine biosynthesis",0.31238,0.3996,0.384570429431665
"putrescine biosynthesis III",0.17049,0.5232,0.3047860715631
"spermidine biosynthesis I",0.17049,0.5232,0.3047860715631
"inositol pyrophosphates biosynthesis",0.52847,0.001845,0.00773493449234857
"phenylethylamine degradation I",0.31238,0.01691,0.032979718530548
"histamine degradation",0.43039,0.03165,0.0721423815733122
"putrescine degradation III",0.60993,0.481,0.653143456909719
"spermine and spermidine degradation I",0.31238,0.3277,0.33568076455618
"oxidative ethanol degradation III",0.43039,0.4219,0.49136881335988
"methylglyoxal degradation VI",0.52847,0.5604,0.656537318524245
"methylglyoxal degradation I",0.43039,0.4623,0.520226069556324
"2-oxoisovalerate decarboxylation to isobutanoyl-CoA",0.31238,0.9812,0.668956331391583
"2-oxoglutarate decarboxylation to succinyl-CoA",0.17049,0.5232,0.3047860715631
"L-dopa degradation",0.31238,0.4105,0.391609499469266
"4-hydroxyproline degradation I",0.43039,0.04219,0.0909475762829367
"&beta;-alanine degradation I",0.43039,0.5232,0.560890844733043
"L-cysteine degradation I",0.52847,0.01522,0.0468355235405227
"glutamate degradation III (via 4-aminobutyrate)",0.52847,0.7239,0.75014979641452
"histidine degradation VI",0.31238,0.008457,0.0183242896482386
"isoleucine degradation I",0.43039,0.4726,0.527334618996583
"leucine degradation I",0.60993,0.8207,0.846968048684567
"lysine degradation II",0.43039,0.6434,0.63248356919419
"citrulline degradation",0.17049,0.5232,0.3047860715631
"phenylalanine degradation I (aerobic)",0.31238,0.6913,0.546935759762079
"tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde",0.43039,0.2321,0.330013271024968
"valine degradation I",0.67754,0.9757,0.934686319122798
"pyruvate decarboxylation to acetyl CoA",0.31238,0.6533,0.528409342779521
"glutaryl-CoA degradation",0.17049,0.5232,0.3047860715631
"2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA",0.31238,0.518,0.456524979784106
"heme degradation",0.31238,0.4186,0.396781672296913
"sucrose degradation V (mammalian)",0.52847,0.5687,0.661842569635201
"fatty acid &alpha;-oxidation III",0.17049,0.06751,0.0628958618902677
"serotonin degradation",0.43039,0.07173,0.138241467591511
"melatonin degradation II",0.52847,0.2826,0.433325134702676
"thymine degradation",0.17049,0.5232,0.3047860715631
"sulfite oxidation IV",0.31238,0.02537,0.0462644236226756
"&alpha;-tocopherol degradation",0.31238,0.277,0.298289951971971
"nicotine degradation IV",0.52847,0.8226,0.796864376604863
"D-glucuronate degradation I",0.31238,0.2918,0.309482875865826
"superoxide radicals degradation",0.17049,0.06751,0.0628958618902677
"oxidized GTP and dGTP detoxification",0.31238,0.09363,0.132550792913035
"glutamate dependent acid resistance",0.31238,0.4397,0.410027281148326
"pyruvate fermentation to lactate",0.31238,0.4388,0.409468870832337
"ketogenesis",0.43039,0.6772,0.65078732392792
"pentose phosphate pathway (oxidative branch)",0.17049,0.5232,0.3047860715631
