Term	Description	p.Val	Gene_Hits	Gene_Total	Gene_Ratio	Ionization
METHYLGLYOXAL DEGRADATION VI	METHYLGLYOXAL DEGRADATION VI	1	3	11	0.272727272727273	positive
METHYLGLYOXAL DEGRADATION III	METHYLGLYOXAL DEGRADATION III	1	2	8	0.25	positive
4-HYDROXYPROLINE DEGRADATION I	4-HYDROXYPROLINE DEGRADATION I	1	1	13	0.0769230769230769	positive
GLUTAMATE DEGRADATION III (VIA 4-AMINOBUTYRATE)	GLUTAMATE DEGRADATION III (VIA 4-AMINOBUTYRATE)	1	3	10	0.3	positive
LEUCINE DEGRADATION I	LEUCINE DEGRADATION I	1	3	22	0.136363636363636	positive
LYSINE DEGRADATION II	LYSINE DEGRADATION II	1	2	17	0.117647058823529	positive
CITRULLINE DEGRADATION	CITRULLINE DEGRADATION	1	1	9	0.111111111111111	positive
PHENYLALANINE DEGRADATION IV (MAMMALIAN, VIA SIDE CHAIN)	PHENYLALANINE DEGRADATION IV (MAMMALIAN, VIA SIDE CHAIN)	1	5	28	0.178571428571429	positive
PROLINE DEGRADATION	PROLINE DEGRADATION	1	1	9	0.111111111111111	positive
TYROSINE DEGRADATION I	TYROSINE DEGRADATION I	1	2	13	0.153846153846154	positive
CHONDROITIN SULFATE DEGRADATION (METAZOA)	CHONDROITIN SULFATE DEGRADATION (METAZOA)	1	1	11	0.0909090909090909	positive
DERMATAN SULFATE DEGRADATION (METAZOA)	DERMATAN SULFATE DEGRADATION (METAZOA)	1	2	12	0.166666666666667	positive
LACTOSE DEGRADATION III	LACTOSE DEGRADATION III	1	3	4	0.75	positive
SPHINGOSINE AND SPHINGOSINE-1-PHOSPHATE METABOLISM	SPHINGOSINE AND SPHINGOSINE-1-PHOSPHATE METABOLISM	1	2	14	0.142857142857143	positive
ACETONE DEGRADATION I (TO METHYLGLYOXAL)	ACETONE DEGRADATION I (TO METHYLGLYOXAL)	1	3	13	0.230769230769231	positive
NORADRENALINE AND ADRENALINE DEGRADATION	NORADRENALINE AND ADRENALINE DEGRADATION	1	4	20	0.2	positive
THYRONAMINE AND IODOTHYRONAMINE METABOLISM	THYRONAMINE AND IODOTHYRONAMINE METABOLISM	1	1	13	0.0769230769230769	positive
THYROID HORMONE METABOLISM I (VIA DEIODINATION)	THYROID HORMONE METABOLISM I (VIA DEIODINATION)	1	1	13	0.0769230769230769	positive
GUANOSINE NUCLEOTIDES DEGRADATION III	GUANOSINE NUCLEOTIDES DEGRADATION III	1	1	12	0.0833333333333333	positive
&ALPHA;-TOCOPHEROL DEGRADATION	&ALPHA;-TOCOPHEROL DEGRADATION	1	2	9	0.222222222222222	positive
NICOTINE DEGRADATION IV	NICOTINE DEGRADATION IV	1	12	30	0.4	positive
D-GLUCURONATE DEGRADATION I	D-GLUCURONATE DEGRADATION I	1	3	11	0.272727272727273	positive
OXIDIZED GTP AND DGTP DETOXIFICATION	OXIDIZED GTP AND DGTP DETOXIFICATION	1	2	10	0.2	positive
