"Pathway","Mummichog Pvals","GSEA Pvals","Combined Pvals"
"Beta-Alanine metabolism",0.89114,0.8562,0.969387795380597
"C21-steroid hormone biosynthesis and metabolism",0.97302,0.02133,0.10117808969793
"Vitamin E metabolism",0.95456,0.4475,0.790505619210846
"Tyrosine metabolism",0.97965,0.2699,0.616139273657759
"Histidine metabolism",0.95834,0.8243,0.976211133884294
"Alanine and Aspartate Metabolism",0.95834,0.8632,0.984134513281679
"Pentose and Glucuronate Interconversions",0.95834,0.009363,0.0512672564720563
"De novo fatty acid biosynthesis",0.98121,0.8619,0.987432184830554
"Phosphatidylinositol phosphate metabolism",0.98121,0.07366,0.262163884213736
"Glycerophospholipid metabolism",0.99026,0.4813,0.829806633690451
"Galactose metabolism",0.99062,0.003731,0.0243954812803711
"Biopterin metabolism",0.99456,0.7684,0.969718405980173
"Ascorbate (Vitamin C) and Aldarate Metabolism",0.99456,0.007313,0.0430833138103415
"Valine, leucine and isoleucine degradation",0.99718,0.8689,0.990656322834925
"Glycine, serine, alanine and threonine metabolism",0.99893,0.2345,0.574231241327545
"Bile acid biosynthesis",0.99957,0.5711,0.890887432857353
"Arachidonic acid metabolism",0.99999,0.004878,0.0308434318013226
"Vitamin A (retinol) metabolism",0.99999,0.0287,0.130608609985689
"Hyaluronan Metabolism",0.68949,0.1383,0.31945685882054
"Glycolysis and Gluconeogenesis",0.99974,0.3272,0.692647446105905
"Hexose phosphorylation",0.99953,0.001815,0.0132652963370159
"Vitamin B2 (riboflavin) metabolism",0.68949,0.4981,0.710483669261656
"Keratan sulfate degradation",0.90389,0.02182,0.0971544306914754
"Vitamin B1 (thiamin) metabolism",0.44254,0.5157,0.565399409074506
"Glycosphingolipid biosynthesis - lactoseries",0.44254,0.09646,0.177317146341553
"Parathio degradation",0.82718,0.5652,0.822983228108276
"Blood Group Biosynthesis",0.44254,0.09646,0.177317146341553
"Vitamin H (biotin) metabolism",0.82718,0.5924,0.839556733106057
"Lipoate metabolism",0.68949,0.7789,0.870910814995268
"Glyoxylate and Dicarboxylate Metabolism",0.68949,0.08144,0.217852709095738
"Fructose and mannose metabolism",0.99953,0.9004,0.994822020693691
"CoA Catabolism",0.68949,0.5511,0.747660583467854
"Glycosphingolipid biosynthesis - neolactoseries",0.44254,0.09646,0.177317146341553
"Dynorphin metabolism",0.82718,0.6866,0.889247102966909
"Polyunsaturated fatty acid biosynthesis",0.68949,0.7064,0.83743229129284
"Keratan sulfate biosynthesis",0.44254,0.09646,0.177317146341553
"TCA cycle",0.9466,0.52,0.841128566216902
"O-Glycan biosynthesis",0.44254,0.09646,0.177317146341553
"Vitamin B6 (pyridoxine) metabolism",0.82718,0.6377,0.86488770505882
"N-Glycan Degradation",0.97035,0.05431,0.20780261076895
"1- and 2-Methylnaphthalene degradation",0.68949,0.1284,0.303164604830346
"Phytanic acid peroxisomal oxidation",0.9466,0.6416,0.910199401888819
"Pentose phosphate pathway",0.99953,0.00381,0.0250222055566343
