feature_identifier	mz	mummichogID_hsa_biocyc
Row.100_64073	253.190501094008	
Row.101_61352	284.146467233438	
Row.102_102119	355.223681747389	17-ALPHA20-ALPHA-DIHYDROXYPREGN-4-EN-3-,CPD-13524,CPD-13538,CPD-13550,CPD-882,CPD66-23
Row.103_72767	197.150905541247	
Row.104_87693	259.130136054244	C00449
Row.105_54316	523.272898398758	
Row.106_100212	177.088538705106	CPD-13404,CPD-3569,C00299
Row.107_83761	298.141328024744	C06171,CPD-7712,CPD-7713
Row.108_93359	169.075808372214	ACETYL-ETCETERA-L-ASPARAGINE,C00525,TRP
Row.109_4888	335.095113933616	CPD-414,N-ACETYL-9-O-ACETYLNEURAMINATE,C00449
Row.111_69505	184.072972546332	CPD-11497,CPD-341,PHOSPHORYL-CHOLINE
Row.112_76926	260.088983653368	CPD-12021
Row.113_58444	337.090343733373	CPD-11673,CPD-548
Row.114_51714	355.172971636933	
Row.115_29422	313.143165777306	R-RETICULINE,S-RETICULINE,SALUTARIDINOL
Row.117_54420	150.088451929337	C00300,O-UREIDOHOMOSERINE
Row.118_109517	255.098975172235	CPD-10488,NICOTINAMIDE_RIBOSE
Row.119_66925	241.104036149186	CPD-596
Row.120_83735	281.171991762399	
Row.121_81318	269.208387189583	
Row.122_58913	302.159270175234	C06174
Row.123_99178	188.200780561911	CPD-10689
Row.124_107513	409.162044966303	
Row.125_2548	193.119663538159	N-ACETYL-BETA-GLUCOSAMINYLAMINE
Row.126_78827	227.067500485136	C00475,C00299
Row.127_130978	262.215678193305	
Row.128_111193	263.173238124994	
Row.129_68623	294.130974769046	
Row.130_114173	263.211625081642	
Row.131_117714	345.167249393557	
Row.132_124588	516.306768051088	
Row.133_3740	434.73794231989	
Row.134_76273	268.152885966312	ACETYL-ETCETERA-L-ASPARAGINE
Row.135_70280	313.141180653575	R-RETICULINE,S-RETICULINE,SALUTARIDINOL
Row.136_90436	273.109419932895	
Row.137_2971	664.529091292945	
Row.138_140691	250.216381466463	
Row.139_86393	279.204182259704	
Row.140_74057	300.120372875828	ACETYL-ETCETERA-L-ASPARAGINE
Row.141_3062	167.067629923912	TRANS-2-HEXENAL
Row.142_115387	275.173777915368	
Row.144_136944	639.409579138145	
Row.145_106067	356.256272815436	PHYTOSPINGOSINE
Row.146_101692	249.157330497927	
Row.147_3083	205.119552899153	CPD-4886,CPD-8785,C00449
Row.148_111540	254.211224915062	
Row.149_77245	203.10392535296	5-PHOSPHO-RIBOSYL-GLYCINEAMIDE,N-ACETYL-BETA-GLUCOSAMINYLAMINE
Row.150_60717	256.093984832208	4-P-PANTOTHENATE,PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE
Row.151_134331	518.322281904383	
Row.152_2878	263.23413915846	C00517
Row.153_3221	141.015552670388	METHYL-GLYOXAL,SUC
Row.154_81880	217.119678720473	1-PALMITOYLGLYCEROL-3-PHOSPHATE
Row.155_77861	315.120683291343	7-8-DIHYDROPTEROATE
Row.156_44653	467.262596508163	
Row.157_50612	677.400606955464	
Row.158_96090	264.120517929273	3-HYDROXY-N6N6N6-TRIMETHYL-L-LYSINE,ACETYL-ETCETERA-L-ASPARAGINE
Row.159_108351	228.195643482803	
Row.161_87597	213.145837142207	
Row.163_76797	329.136274818103	
Row.165_120774	81.0316191244697	C00207,CPD-665,CPD-9501,CPD3O-4151
Row.166_2227	276.835952228831	
Row.167_95389	265.188945305156	
Row.168_91841	247.025284005259	PYRIDOXAL_PHOSPHATE
Row.169_119900	153.088570838935	CPD-7619
Row.170_95250	311.182633611648	CPD-12016
Row.171_94049	380.182961366632	
Row.173_64443	231.062396138904	
Row.174_101821	227.10401692934	C00931,CPD-14736
Row.175_130065	313.234839673977	CPD-13092,CPD-13093,CPD-13094,CPD-13089,CPD-13090,CPD-13091,CPD-730
Row.176_93207	151.122832380779	2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE,CPD-14092,CPD-2743,CPD-3187
Row.177_2378	221.15085154807	CPD-13398
Row.178_69212	258.205891344554	
Row.179_99266	281.208479612289	13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1,20-OH-LTB4,5Z13E-15S-1115-DIHYDROXY-9-OXOPROS,5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA,5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O,ALPHA-HYDROXY-915-DIOXOPROSTANOATE,ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA,PROSTAGLANDIN-H2
Row.180_3605	314.778962147915	
Row.181_100633	282.146452714065	C06174,C05179
Row.182_57967	419.225315269475	
Row.183_2370	307.260405129135	CPD-7247,STEARIC_ACID
Row.184_68853	162.091070120223	CPD-14092,CPD-2743,CPD-3187,CPD-341,CPD-10546,CPD-11877,CPD-12019,CPD-12020
Row.185_95831	303.156615835665	
Row.186_105737	313.234851206644	CPD-13092,CPD-13093,CPD-13094,CPD-13089,CPD-13090,CPD-13091,CPD-730
Row.188_51850	387.198952765582	
Row.189_100968	241.177232121946	C00750
Row.190_48260	550.788901954007	
Row.191_2419	173.057064845367	CPD-13395,HYDANTOIN-5-PROPIONATE,CPD-13406,CPD-7032,CPD-7033,C06608,C00299
Row.192_3455	108.04219067377	2-HYDROXY-2-METHYLPROPANENITRILE,CPD-2750,CPD-2751,CPD-3185,CPD-3188,CPD-3191
Row.193_100779	249.146072305528	C00449
Row.194_120499	351.25053983039	17-ALPHA20-ALPHA-DIHYDROXYPREGN-4-EN-3-,CPD66-23,OLEATE-CPD
Row.195_64736	367.221783586598	OLEATE-CPD
Row.196_95135	328.247305709735	
Row.197_71345	258.146418797102	GLYCOLITHOCHOLATE-3-SULFATES,C01516,R-RETICULINE,S-RETICULINE,SALUTARIDINOL
Row.198_97652	208.094296055391	CPD-13395
Row.199_115908	325.234924328548	13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1,20-OH-LTB4,5Z13E-15S-1115-DIHYDROXY-9-OXOPROS,5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA,5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O,ALPHA-HYDROXY-915-DIOXOPROSTANOATE,ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA,PALMITATE,PROSTAGLANDIN-H2
Row.200_49392	508.253032042621	
Row.201_41788	640.295814263063	
Row.202_3001	694.546139678475	
Row.203_118404	469.313838948518	
Row.204_93420	255.206517744483	
Row.205_130070	417.261571257199	
Row.206_87854	394.175202334051	
Row.207_55363	307.187580890085	
Row.208_89419	244.190400684095	
Row.209_123302	237.146066592927	
Row.210_2523	277.249905262773	ARACHIDONIC_ACID
Row.211_81513	345.13069557339	CPD-10262,C00510
Row.212_58965	633.180157898628	
Row.213_96971	269.208533800361	
Row.214_82757	160.075526465163	CPD-2742,INDOLE_ACETALDEHYDE,C00780,CPD-11671,CPD-12020,INDOLE-3-GLYCOL
Row.215_110124	273.181879401109	
Row.216_2698	211.093760437996	CPD-11670
Row.217_38215	612.302224484122	
Row.218_120775	126.028876334464	PYRIDOXINE-5P
Row.219_67517	729.425371174639	
Row.220_94508	367.209078852352	
Row.221_52631	246.109697680487	CPD-574,C00881
Row.222_77985	217.119655569177	1-PALMITOYLGLYCEROL-3-PHOSPHATE
Row.223_79541	252.158933617917	
Row.225_129332	505.313975224714	
Row.226_50871	227.088490968035	C00881
Row.227_70761	310.199332788565	
Row.228_95493	215.067549866973	CPD-7619
Row.229_102289	351.177982641442	
Row.230_113231	283.237826777512	
Row.231_19908	267.167558310987	
Row.233_114762	241.177243631741	C00750
Row.234_39197	479.209897968326	
Row.235_55263	272.125578757415	
Row.236_86140	196.130530510646	
Row.237_106201	355.209272279656	
Row.238_38345	169.119574061098	CPD-13086
Row.239_125468	207.185532046582	
Row.240_104494	425.157248663528	
Row.241_2570	209.15079449013	C00449
Row.242_86468	183.13544475677	CPD-148
Row.243_116461	679.461904087545	CPD-464
Row.244_91811	409.173090387987	C07344,HYDROXY-915-DIOXOPROSTA-13-ENOATE
Row.245_42525	552.279315695801	
Row.246_95731	225.088297581487	3-HYDROXY-L-KYNURENINE,CPD-13393,C00365,C00214
Row.247_108946	239.144264247517	
Row.248_31049	542.753213478784	
Row.249_98510	265.104455586016	CPD-13175
Row.250_115429	513.242651893837	
Row.251_112306	773.495106448154	
Row.252_96164	228.099356578591	C00881
Row.253_74308	288.120321298998	S-NORLAUDANOSOLINE
Row.254_118833	237.146045074247	
Row.255_88266	297.203305210657	CPD-7836
Row.256_111125	162.127643054317	CPD-12936
Row.257_71026	303.156258939843	
Row.258_74753	291.119859463588	
Row.259_111156	395.14662352247	CPD-12016
Row.260_116591	437.19378358542	13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1,20-OH-LTB4,5Z13E-15S-1115-DIHYDROXY-9-OXOPROS,5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA,5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O,ALPHA-HYDROXY-915-DIOXOPROSTANOATE,ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA,PROSTAGLANDIN-H2
Row.262_89723	200.104282323211	CPD-13403,C00475,C00881
Row.263_99338	210.102588477062	CPD-3483
Row.264_60026	304.151615872274	C01516
Row.265_92866	357.224870234242	
Row.266_87215	490.254075118076	
Row.267_35442	399.127242488521	C00255
Row.268_121428	737.50325619277	
Row.269_2568	393.297242269977	CPD-7284,CPD66-18
Row.270_87856	312.120400911972	
Row.271_75539	333.179167365381	CPD-13089,CPD-13090,CPD-13091,CPD-730
Row.272_49235	391.230803850169	
Row.273_100234	345.203395884038	C01124,C00735,CPD-11268,CPD-286,CPD-287
Row.274_87415	325.162113296346	CPD-13014
Row.275_5079	146.117415111268	C01996,GAMMA-BUTYROBETAINE
Row.276_83470	266.174418580763	
Row.277_92458	379.198751534377	
Row.278_61452	275.124952627905	CPD-7229
Row.279_84438	270.109873715483	S-NORLAUDANOSOLINE
Row.281_3208	171.062509890961	MEVALONATE
Row.282_117319	293.208547510113	CPD-11961
Row.283_97774	203.0676048129	1-INDANOL,4-GUANIDO-BUTYRAMIDE
Row.284_88033	268.094205881527	C01779,C01779
Row.285_78832	243.17006728865	2-TRANS6-TRANS-FARNESAL
Row.286_62428	697.325415335037	
Row.287_91657	241.140722434734	CPD-3617
Row.288_72849	236.126849841504	
Row.289_88399	245.114520520687	CPD-574,C00931,PTEROATE
Row.290_64587	246.148417109341	
Row.292_114056	252.136184068846	C06171,CPD-7712,CPD-7713
Row.293_47889	467.262632384996	
Row.294_88686	215.104006261804	C00756,C00214
Row.295_113857	329.136100919696	
Row.296_114463	291.135370245723	
Row.297_58284	353.207106449107	11-DEOXYCORTICOSTERONE,17-ALPHA-HYDROXYPROGESTERONE,CPD-13086,CPD-13525,CPD-13536,CPD-881,CPD66-27,C00376
Row.298_70798	665.299815045262	
Row.299_76337	262.141954158209	
Row.300_105899	289.140836221731	CPD-9700
Row.301_121735	379.151548007891	
Row.302_96156	383.240608218619	CPD-13086
Row.303_119585	325.234983463673	13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1,20-OH-LTB4,5Z13E-15S-1115-DIHYDROXY-9-OXOPROS,5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA,5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O,ALPHA-HYDROXY-915-DIOXOPROSTANOATE,ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA,PALMITATE,PROSTAGLANDIN-H2
Row.304_90332	238.08359352175	
Row.305_59896	611.326265925022	
Row.306_122533	273.18221695483	CPD-352,CPD66-25
Row.307_103424	279.0932970253	CPD-7229
Row.308_81473	241.190675263748	
Row.309_55220	607.257847327105	ALPHA-N-ACETYLNEURAMINYL-26-BETA-D-GALA,C00486
Row.310_75901	293.183741442686	C00255
Row.311_87421	246.206069393751	
Row.312_105120	532.301225197152	
Row.313_3170	142.916425671003	
Row.314_81118	267.156293958265	
Row.316_121825	288.253139397347	
Row.317_119963	81.0316135455763	C00207,CPD-665,CPD-9501,CPD3O-4151
Row.318_69737	271.151103355409	
Row.319_46709	380.204547320519	
Row.320_2973	197.078181591016	
Row.321_60927	309.095469697807	C00051,PROTOHEME
Row.323_108103	307.151507714409	
Row.324_117875	333.14603633878	
Row.325_2003	163.109065028531	5Z8Z11Z14Z17Z-EICOSAPENTAENOATE,CPD-13397
Row.326_90860	225.088222087207	3-HYDROXY-L-KYNURENINE,CPD-13393,C00365,C00214
Row.327_61070	312.120308931586	
Row.328_58676	271.151092594953	
Row.329_122539	241.177304140361	C00750
Row.330_2201	243.098866933197	C00214,3-HYDROXY-L-KYNURENINE,7-8-DIHYDROPTEROATE
Row.331_28676	349.182949063025	
Row.333_94373	263.161182109884	
Row.334_109278	294.240533558929	
Row.335_99067	297.216902758648	
Row.336_98486	245.151186507349	
Row.337_118313	409.162324273953	
Row.338_108056	272.221821924491	
Row.339_118862	349.141073475278	CPD-12016
Row.340_100598	296.125599226466	
Row.341_134027	219.174090481134	CPD-4579,CPD-8618
Row.342_132913	335.125282867045	
Row.343_71839	303.119975170432	BILIVERDINE,CPD-14601
Row.344_54314	481.241772762202	
Row.345_87094	270.146735589744	C06171,CPD-7712,CPD-7713
Row.346_68213	230.116155386352	CPD-11406,CPD-11428
Row.347_113186	409.162273107131	
Row.348_134812	381.297636784409	ARACHIDIC_ACID,CHOLATE,PHYTANATE
Row.349_77494	297.203280961399	CPD-7836
Row.350_71677	241.190592082775	
Row.351_81048	256.131254960457	C01735,C05179
Row.352_111187	348.990122081802	
Row.353_71886	259.130117720952	C00449
Row.354_61158	288.252810089913	
Row.355_111653	289.104457421318	
Row.356_82993	227.161471523981	CPD-10689
Row.357_98658	311.219212305967	
Row.359_3871	284.888537615248	
Row.361_64963	345.188712600681	
Row.362_99501	229.083339764137	C00526,CPD-195
Row.363_106680	225.182441504393	
Row.364_74132	163.075189099823	
Row.365_7544	124.037000574896	3-HYDROXY-L-KYNURENINE
Row.366_88595	269.208345832861	
Row.367_114292	271.13033527571	CPD-9700,7-8-DIHYDROPTEROATE
Row.369_89749	220.130761721159	
Row.370_45312	434.191297360399	
Row.371_59100	241.176922932954	C00750
Row.372_72440	380.158903236367	
Row.373_59897	296.183372443697	
Row.374_124064	431.298263186225	
Row.375_61150	202.179798269947	
Row.376_44456	596.306023445228	
Row.377_75893	227.1613751027	CPD-10689
Row.378_41456	309.180344266265	ANDROST4ENE,CPD66-29
Row.379_72913	219.112343710893	N-ACETYL-SEROTONIN,N-METHYLTRYPTOPHAN,CPD-1097,CPD-12022,CPD-12023,PANTOTHENATE
Row.380_1002	100.112361116354	
Row.381_113103	795.336668782305	
Row.382_113970	275.104100535373	C01449
Row.383_84109	313.248100746729	
Row.384_3244	181.046855377813	CYS-GLY,CPD-289
Row.385_2611	692.548991576429	
Row.386_73744	275.125004726691	CPD-7229
Row.387_3900	177.088393504876	CPD-13404,CPD-3569,C00299
Row.388_44848	477.259468696068	CPD-7284
Row.389_57456	463.250929562068	
Row.390_82613	349.198258603043	
Row.391_72677	309.130874173898	
Row.392_100887	295.237723926953	
Row.393_118468	269.060618023949	
Row.395_87129	217.046859909744	1-L-MYO-INOSITOL-1-P,ALPHA-GLC-6-P,CPD-448,CPD-488,CPD-6701,CPD-6702,CPD-6746,D-HEXOSE-6-PHOSPHATE,D-MYO-INOSITOL-1-MONOPHOSPHATE,D-MYO-INOSITOL-4-PHOSPHATE,FRU1P,FRUCTOSE-6P,GALACTOSE-1P,GLC-1-P,GLC-6-P,MANNOSE-1P,MANNOSE-6P
Row.396_83700	380.182976435955	
Row.397_51248	375.198995742693	
Row.398_119670	264.194424911021	
Row.399_88457	195.135357605167	CPD-3617
Row.401_81115	255.156322747806	
Row.402_30813	197.114591981285	CPD-371
Row.403_4274	483.7662434704	
Row.404_84083	241.153871481873	
Row.405_50691	525.231836833364	
Row.406_116593	382.14730413429	
Row.407_119899	241.177345876935	C00750
Row.408_60206	268.093982796253	C01779,C01779
Row.409_82158	204.101673494468	
Row.410_68983	307.151155363862	
Row.411_31956	340.162678037894	CPD-2744,BETA-D-GALACTOSYL-ETCETERA-GLUCOSAMINE
Row.412_76685	271.151082653968	
Row.413_46593	585.288379751042	
Row.414_82164	226.083518673209	C00475
Row.415_81591	253.19032626101	
Row.416_86469	288.120478099204	S-NORLAUDANOSOLINE
Row.417_129461	258.206303098754	
Row.418_111852	305.172301177232	
Row.419_58667	210.146158037699	
Row.420_3527	237.109496872516	CPD-7618,CPD-9976,CPD-9977,CPD0-1445
Row.421_24072	693.326471128645	
Row.422_64922	289.104228013409	
Row.423_76611	256.094155646805	4-P-PANTOTHENATE,PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE
Row.424_70582	344.147409526894	
Row.425_78079	342.168575125297	
Row.426_83547	268.1304496063	
Row.427_91269	624.293051885556	
Row.428_95144	183.091559427862	N-ACETYL-SEROTONIN,N-METHYLTRYPTOPHAN
Row.429_72790	464.259139011997	
Row.430_66930	280.188864616103	
Row.431_72427	167.103950085262	CPD-195
Row.432_50268	266.137818627921	
Row.433_96797	231.099062799664	5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE
Row.434_3841	464.803073068965	
Row.435_111233	476.275048082166	
Row.436_108839	344.279613859127	
Row.437_90812	235.141510775749	
Row.438_79715	202.179842457065	
Row.439_45543	522.26783268288	TAUROLITHOCHOLATE
Row.440_68871	387.235381866074	
Row.441_41016	552.315895211258	
Row.442_71131	219.062383253454	
Row.443_67727	306.130910097497	S-NORLAUDANOSOLINE
Row.444_123883	258.206268335859	
Row.445_57285	461.199008777412	5-METHYL-THF
Row.446_135058	441.264304284456	CPD66-17
Row.447_62217	351.190623725639	CPD-13092,CPD-13093,CPD-13094
Row.448_99057	255.156409356305	
Row.449_111822	437.19367323699	13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1,20-OH-LTB4,5Z13E-15S-1115-DIHYDROXY-9-OXOPROS,5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA,5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O,ALPHA-HYDROXY-915-DIOXOPROSTANOATE,ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA,PROSTAGLANDIN-H2
Row.450_3248	624.541761112501	
Row.451_87098	248.125811685103	CPD-11406,N6N6N6-TRIMETHYL-L-LYSINE
Row.453_77997	168.138044352277	
Row.454_124138	305.163898752152	C07344
Row.455_90085	298.141165661975	C06171,CPD-7712,CPD-7713
Row.456_116172	337.234908447279	5Z8Z10E14Z-12S-12-HYDROPEROXYICOS,5Z8Z11Z13E-15S-15-HYDROPEROXYICOS,6E8Z11Z14Z-5S-5-HYDROPEROXYCOSA-6,6Z8E10E14Z-5S12R-512-DIHYDROXYI,5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY,ALPROSTADIL,CPD-13086,CPD-8892
Row.458_77708	183.135364022121	CPD-148
Row.459_73255	193.119674072699	N-ACETYL-BETA-GLUCOSAMINYLAMINE
Row.460_78217	240.099255152984	CMP,CPD-3710,CPD0-1081
Row.461_2597	500.779804581268	
Row.462_3821	205.083251311411	CPD-13404,CPD-3569,C01996,GAMMA-BUTYROBETAINE
Row.463_48474	622.358500069698	
Row.464_128689	276.232068206594	
Row.465_4652	622.688179958359	
Row.466_132756	383.204206943235	
Row.467_98211	218.153851864889	
Row.468_79966	231.098826964953	5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE
Row.469_93957	317.172359934267	
Row.470_100643	281.172204968002	
Row.471_45018	511.289260926523	
Row.472_93390	273.109300569782	
Row.473_72780	265.140569728898	
Row.474_34758	335.13611513353	ACETYL-ETCETERA-L-ASPARAGINE
Row.475_42930	380.185528390711	
Row.476_89550	224.127372217892	
Row.477_88448	335.230628586636	
Row.478_94957	236.126184111611	CPD-13403
Row.479_125872	299.161748616948	
Row.480_3214	112.895821439647	
Row.481_88961	222.088653256388	CPD-3713
Row.482_110578	621.42024340663	
Row.483_2256	151.03635434368	
Row.484_58943	321.130606112622	CPD-14601
Row.485_108676	377.219484665405	3-BETA-HYDROXY-5-ALPHA-PREGNANE-20-ONE
Row.486_53010	382.16237957621	
Row.487_2236	207.098836994333	
Row.488_74044	275.099923104959	CANAVANINOSUCCINATE,CPD0-882,C01449
Row.489_48428	322.672727953833	
Row.490_108936	329.172680044632	
Row.491_91062	246.206127580617	
Row.492_81848	214.122133095841	C01516
Row.493_73266	323.146377254372	
Row.494_112305	421.317508709051	
Row.495_3339	784.439899282542	
Row.498_104766	313.198521025117	
Row.499_2362	161.057100573809	O-UREIDOHOMOSERINE,BETAINE_ALDEHYDE,CPD-9501,CPD3O-4151
Row.500_130930	299.161732235901	
Row.501_120502	251.198051722699	CPD-7836
Row.502_88886	269.171943405162	DODECANOATE
Row.503_52620	461.199060260584	5-METHYL-THF
Row.504_48627	469.242211299245	
Row.505_110595	389.219329929263	
Row.506_55680	461.262675443405	CPD-7235
Row.507_2383	215.125178313638	
Row.508_89407	145.075869438436	CPD-2749
Row.510_83458	238.177723304975	
Row.511_71365	367.172650052594	
Row.512_43179	608.342478018141	
Row.513_112309	414.215244411473	
Row.514_112738	172.111959823795	
Row.515_79475	227.161412098218	CPD-10689
Row.516_105895	243.135480723176	CPD-3482,CPD-3484,CPD-11962,CPD-9700
Row.518_109772	194.151557282275	
Row.520_96780	230.211275864648	
Row.521_88527	292.944879968774	
Row.522_2340	307.093661111187	
Row.523_2305	391.354281585849	20A-20B-DIHYDROXY-CHOLESTEROL,3-ALPHA7-ALPHA12-ALPHA-TRIHYDROX,5-BETA-CHOLESTANE-3-ALPHA7-TETRAOL,7-ALPHA27-DIHYDROXYCHOLESTEROL,CPD-10481,CPD-10503,CPD-10587,CPD-1834,CPD-7286
Row.524_128801	438.287640555843	
Row.525_86236	395.19352539889	5Z8Z10E14Z-12S-12-HYDROPEROXYICOS,5Z8Z11Z13E-15S-15-HYDROPEROXYICOS,6E8Z11Z14Z-5S-5-HYDROPEROXYCOSA-6,6Z8E10E14Z-5S12R-512-DIHYDROXYI
Row.526_90900	261.109425770519	CPD-13711,CPD-596,C00214
Row.527_73007	293.147093732418	
Row.528_94254	152.120056528695	5Z8Z11Z14Z17Z-EICOSAPENTAENOATE,CPD-10050,CPD-10051,CPD-260,CPD-261,CPD-9762,C01499
Row.529_90087	264.120362423011	3-HYDROXY-N6N6N6-TRIMETHYL-L-LYSINE,ACETYL-ETCETERA-L-ASPARAGINE
Row.530_91288	259.093867147532	
Row.531_76206	244.190370383006	
Row.532_87109	233.114598331039	CPD-731
Row.533_78267	310.14123791496	C05179
Row.534_2230	199.072660371683	CPD-7620,C00299
Row.535_79209	253.176943221536	CPD-12936
Row.536_91485	635.361026336892	
Row.537_113727	236.162171020308	
Row.538_4550	162.112282058519	C00398,CARNITINE
Row.539_2123	271.16651364024	CPD-7867
Row.540_82532	518.238908327853	
Row.541_3620	156.877363370061	
Row.542_121605	181.169831965885	
Row.543_100026	441.152200952777	METHYLENE-THF
Row.544_118071	381.26118447422	CPD3DJ-11366,CPD-649
Row.545_67733	216.159046964092	
Row.546_112048	237.182336819814	
Row.548_39632	169.046825448107	CPD-548
Row.549_123087	289.14092183486	CPD-9700
Row.550_87277	201.088349571183	CPD-13403,CPD0-1445,C00526,C00299
Row.552_73771	214.179753924987	CPD-7238
Row.553_120663	186.127703150012	CPD-11406
Row.554_83541	281.147193732272	
Row.555_68847	334.162584534431	
