Gene	feature_identifier	Protein	P.Value	adj.P.Val	logFC	AveExpr
PDCD6IP	PDCD6IP_Q8WUM4	Q8WUM4	1.47269909929925e-07	2.3412778615963e-05	-0.434591588708997	18.3645793719417
HYOU1	HYOU1_Q9Y4L1	Q9Y4L1	1.48222614267065e-07	2.3412778615963e-05	-0.46327032018419	19.2187240614151
VCAM1	VCAM1_P19320	P19320	1.50267636592739e-07	2.3412778615963e-05	0.783355699949677	12.8008907236378
SNX2	SNX2_O60749	O60749	1.52536816599703e-07	2.3412778615963e-05	-0.550917323809969	16.082006159164
FAM20C	FAM20C_Q8IXL6	Q8IXL6	1.712905157026e-07	2.53687208612242e-05	0.593848018408542	15.4282117118422
HNRNPA2B1	HNRNPA2B1_P22626	P22626	1.73061713812508e-07	2.53687208612242e-05	0.513664042468559	20.734376601546
P4HTM	P4HTM_Q9NXG6	Q9NXG6	1.75829781405768e-07	2.53687208612242e-05	0.555408890717949	17.0552964459926
ASS1	ASS1_P00966	P00966	1.79808070398087e-07	2.54340278402314e-05	-0.761241684817586	15.3068854134001
TMEM59	TMEM59_Q9BXS4	Q9BXS4	1.83695504356014e-07	2.54842186235439e-05	-0.576099888829312	16.6487089263004
DUSP3	DUSP3_P51452	P51452	2.11516666453367e-07	2.87902119206526e-05	-0.552126044660383	16.1935640125375
EVI2A	EVI2A_P22794	P22794	2.43381068591116e-07	3.20157245165783e-05	-0.856697493781953	15.3195242890603
C1orf123	C1orf123_Q9NWV4	Q9NWV4	2.44089942945912e-07	3.20157245165783e-05	-0.702349630011781	15.148665153518
EZH2	EZH2_Q15910	Q15910	2.5682385736979e-07	3.30844161976012e-05	0.441820836898934	16.5813668594176
GALT	GALT_P07902	P07902	2.73856351008537e-07	3.45327003136603e-05	-0.60994266466872	14.4615028915751
ATP6V1G1	ATP6V1G1_O75348	O75348	2.83401553065593e-07	3.45327003136603e-05	-0.770831085588426	16.2244934584039
LTBR	LTBR_P36941	P36941	2.84914136847842e-07	3.45327003136603e-05	-1.13751850709899	12.6671099767155
YARS	YARS_P54577	P54577	2.97609099600252e-07	3.45327003136603e-05	-0.619422468544464	17.3785197875319
CRELD2	CRELD2_Q6UXH1	Q6UXH1	3.00711954283466e-07	3.45327003136603e-05	-0.565101574704643	14.9252664159049
NDST1	NDST1_P52848	P52848	3.07279945620951e-07	3.45327003136603e-05	-0.642143874302084	14.8042741569898
C16orf62	C16orf62_Q7Z3J2	Q7Z3J2	3.11990141762956e-07	3.45327003136603e-05	-0.39238380663614	15.8821245290815
RRAGA	RRAGA_Q7L523	Q7L523	3.13577383147611e-07	3.45327003136603e-05	-0.35559266545518	16.9537744644432
CRIM1	CRIM1_Q9NZV1	Q9NZV1	3.14084805825685e-07	3.45327003136603e-05	-0.422761743312993	17.6824973072991
NCOA4	NCOA4_Q13772	Q13772	3.15935433975822e-07	3.45327003136603e-05	-1.02918579756291	14.1095677283854
HSPA5	HSPA5_P11021	P11021	3.2127727709787e-07	3.45924518952841e-05	-0.528965508966827	20.1951587692742
DAAM1	DAAM1_Q9Y4D1	Q9Y4D1	3.30830600397502e-07	3.50426200689501e-05	-0.447939736382899	17.1958808790028
ATIC	ATIC_P31939	P31939	3.3517338297166e-07	3.50426200689501e-05	-0.590428084224524	17.5987956956028
GYG1	GYG1_P46976	P46976	3.41912588057485e-07	3.52365344320957e-05	-1.59369829795416	11.5891448193415
LARP4B	LARP4B_Q92615	Q92615	3.52516675141689e-07	3.58176802038331e-05	0.406599847116262	17.3491531235557
C4orf32	C4orf32_Q8N8J7	Q8N8J7	4.47785948543212e-07	4.48656643443157e-05	0.625556466215748	14.2702302728348
MATR3	MATR3_P43243	P43243	4.78481700505479e-07	4.67473819864365e-05	0.479344856353638	19.2516155406608
PPCS	PPCS_Q9HAB8	Q9HAB8	4.79526790545647e-07	4.67473819864365e-05	-0.588676625875468	14.5017194598828
FAM208A	FAM208A_Q9UK61	Q9UK61	4.87305043682448e-07	4.68722478016691e-05	0.346189209308299	18.0560085363075
LRP5	LRP5_O75197	O75197	5.01422444976925e-07	4.75955462903097e-05	0.511197060319404	16.9565403181255
MFGE8	MFGE8_Q08431	Q08431	5.40731480036361e-07	4.94450175488261e-05	-0.498155053012376	17.5239139893337
CTSZ	CTSZ_Q9UBR2	Q9UBR2	5.44608345881465e-07	4.94450175488261e-05	0.572326578813964	17.3235437332985
TNFRSF21	TNFRSF21_O75509	O75509	5.44774172028444e-07	4.94450175488261e-05	-0.546212181286666	17.4241792589167
OGT	OGT_O15294	O15294	5.55062378725506e-07	4.94450175488261e-05	-0.495404810078526	17.541884120987
TNIP1	TNIP1_Q15025	Q15025	5.56175304879318e-07	4.94450175488261e-05	-0.466012338933353	17.2358725743244
PLK1	PLK1_P53350	P53350	5.62030972969745e-07	4.94450175488261e-05	0.511113301526064	14.97222387408
BST2	BST2_Q10589	Q10589	5.79407896877873e-07	5.01869377712236e-05	0.542839786594229	16.569499711872
DPP3	DPP3_Q9NY33	Q9NY33	5.9139871238966e-07	5.01869377712236e-05	-0.572075166391258	18.4761718953607
SLC4A2	SLC4A2_P04920	P04920	5.96716723897611e-07	5.01869377712236e-05	-0.504917026935285	17.381763278494
WDR76	WDR76_Q9H967	Q9H967	5.98321106254097e-07	5.01869377712236e-05	0.689308638205237	13.3768212241581
MBTPS2	MBTPS2_O43462	O43462	6.05248625741121e-07	5.01869377712236e-05	0.625194855480082	13.5129683207183
CNTNAP1	CNTNAP1_P78357	P78357	6.29241320621845e-07	5.15834873518863e-05	0.452962311718505	16.0725370721729
SLC5A3	SLC5A3_P53794	P53794	6.60588858013728e-07	5.35448092327082e-05	-0.45247129074907	16.5097123839797
ACY1	ACY1_Q03154	Q03154	6.91148889297528e-07	5.43677225730874e-05	-0.549456181801585	16.422609850663
CHAF1A	CHAF1A_Q13111	Q13111	6.91588220217401e-07	5.43677225730874e-05	0.431875566010005	15.8282741410433
TYMS	TYMS_P04818	P04818	6.93350495803166e-07	5.43677225730874e-05	0.555512026528678	17.8283054794946
SLC3A2	SLC3A2_P08195	P08195	7.15226161451968e-07	5.54773841920111e-05	-0.446279267783407	18.9502044224486
NUSAP1	NUSAP1_Q9BXS6	Q9BXS6	7.39267729550189e-07	5.54773841920111e-05	0.577803711045915	14.6457182440873
AHCYL2	AHCYL2_Q96HN2	Q96HN2	7.39951566713477e-07	5.54773841920111e-05	-0.447946666704174	16.0300382931652
LAMC1	LAMC1_P11047	P11047	7.44904849338324e-07	5.54773841920111e-05	-0.446871660427281	18.8350283266981
ENO2	ENO2_P09104	P09104	7.45953183618668e-07	5.54773841920111e-05	-0.694416635225561	17.0794258829332
UAP1	UAP1_Q16222	Q16222	7.63520141447962e-07	5.62044316367918e-05	-0.63117718552849	17.5250787945283
ATP6V1H	ATP6V1H_Q9UI12	Q9UI12	8.01274609475075e-07	5.83878286136686e-05	-0.512325468746088	16.4012158714839
TOP2B	TOP2B_Q02880	Q02880	8.57481218455253e-07	6.12817593716342e-05	0.478822825129637	17.5689769414735
GALE	GALE_Q14376	Q14376	8.57978610553792e-07	6.12817593716342e-05	-0.44895918727277	17.5140211876756
WARS	WARS_P23381	P23381	8.89732502347875e-07	6.2926767371937e-05	-0.461595669252066	16.8322076277562
CMIP	CMIP_Q8IY22	Q8IY22	9.11983343193561e-07	6.33354278542016e-05	-0.491075876160503	15.2368918220929
HDDC2	HDDC2_Q7Z4H3	Q7Z4H3	9.13069655785551e-07	6.33354278542016e-05	-0.530302584618203	15.1356056986175
TRA2A	TRA2A_Q13595	Q13595	9.27762107195722e-07	6.34308663904292e-05	0.425997798730847	17.021666468373
TOM1	TOM1_O60784	O60784	9.32031028193165e-07	6.34308663904292e-05	-0.382157078891137	17.6586686172329
RNF149	RNF149_Q8NC42	Q8NC42	9.42192637010759e-07	6.35231559195852e-05	-0.574625121663662	16.8529665270707
GOT1	GOT1_P17174	P17174	9.66253756152461e-07	6.4542172193369e-05	-0.61393945177273	17.3634966966415
SNX8	SNX8_Q9Y5X2	Q9Y5X2	1.0185243403094e-06	6.74094916604772e-05	-0.418144967926334	16.5414623753034
CHAF1B	CHAF1B_Q13112	Q13112	1.03994416494345e-06	6.82014291445639e-05	0.413943704585661	15.957721157329
TNFSF10	TNFSF10_P50591	P50591	1.06332231097354e-06	6.91063707330011e-05	0.795365925197379	13.5072127742876
PPT2	PPT2_Q9UMR5	Q9UMR5	1.0766246312393e-06	6.91861190431499e-05	0.479917923077295	15.4646590593751
SNRPE	SNRPE_P62304	P62304	1.08966333517918e-06	6.91861190431499e-05	0.378151009235648	17.1469114433966
RNF31	RNF31_Q96EP0	Q96EP0	1.09997571360904e-06	6.91861190431499e-05	-0.505122743726387	15.8835669559606
HNRNPH3	HNRNPH3_P31942	P31942	1.10291151787666e-06	6.91861190431499e-05	0.386618512227063	19.3457393900299
PTER	PTER_Q96BW5	Q96BW5	1.16433551698772e-06	7.23304016875015e-05	-0.623855628247195	15.0046698334972
CALCOCO2	CALCOCO2_Q13137	Q13137	1.17308802293286e-06	7.23304016875015e-05	-0.570955204961262	15.9322011155436
IL13RA1	IL13RA1_P78552	P78552	1.18481135057672e-06	7.24341447716987e-05	-0.412322636523637	16.1857720556
MARCH3	MARCH3_Q86UD3	Q86UD3	1.20113635466224e-06	7.28031044396715e-05	-0.518391777387212	13.2476133584868
PEPD	PEPD_P12955	P12955	1.2110302928695e-06	7.28031044396715e-05	-0.553288900025766	17.4842120474609
TOR1AIP2	TOR1AIP2_Q8NFQ8	Q8NFQ8	1.26421439532923e-06	7.48623412819386e-05	0.513321923422025	15.9324660630582
ATP6V1B2	ATP6V1B2_P21281	P21281	1.27585803853342e-06	7.48623412819386e-05	-0.381499674189399	17.8534851193551
PLAT	PLAT_P00750	P00750	1.2783167305117e-06	7.48623412819386e-05	0.45584422632426	17.6191105525512
CNDP2	CNDP2_Q96KP4	Q96KP4	1.29600220709776e-06	7.48623412819386e-05	-0.464651648668973	17.0269873997253
ATP6V1A	ATP6V1A_P38606	P38606	1.30542335414895e-06	7.48623412819386e-05	-0.494473407733633	17.3283461670707
RBM8A	RBM8A_Q9Y5S9	Q9Y5S9	1.30754851698423e-06	7.48623412819386e-05	0.402397064444509	15.582918185503
WHSC1	WHSC1_O96028	O96028	1.34641593586913e-06	7.52324632134792e-05	0.526007422852301	15.8810933761503
TSTA3	TSTA3_Q13630	Q13630	1.35371243151023e-06	7.52324632134792e-05	-0.576785537543039	17.188277203632
NT5DC2	NT5DC2_Q9H857	Q9H857	1.35855797196409e-06	7.52324632134792e-05	0.414036930164137	17.6074621168544
ZNF326	ZNF326_Q5BKZ1	Q5BKZ1	1.36521822738857e-06	7.52324632134792e-05	0.458784321080561	17.6093275059326
BAZ2A	BAZ2A_Q9UIF9	Q9UIF9	1.36615645702326e-06	7.52324632134792e-05	0.410374442272193	16.9829928897889
ETV6	ETV6_P41212	P41212	1.38401869933846e-06	7.56387189168763e-05	0.505976086208294	15.1803554181891
CORO1B	CORO1B_Q9BR76	Q9BR76	1.4065608041168e-06	7.6292704066907e-05	-0.419909444064267	17.2629490016698
CAPN5	CAPN5_O15484	O15484	1.43876690991926e-06	7.74571976728173e-05	0.36796335445678	15.2670293801543
COPRS	COPRS_Q9NQ92	Q9NQ92	1.4655495771679e-06	7.74695616399174e-05	-0.535008646033528	15.4565213094891
F3	F3_P13726	P13726	1.46879624699642e-06	7.74695616399174e-05	-0.610015791733328	14.3191875608877
MTHFD1	MTHFD1_P11586	P11586	1.47121291165355e-06	7.74695616399174e-05	-0.481295809193526	18.6776838984147
TBC1D10A	TBC1D10A_Q9BXI6	Q9BXI6	1.5504770312295e-06	8.10517485745627e-05	0.418625148990062	16.0212347669293
RPS6KA3	RPS6KA3_P51812	P51812	1.56781487337317e-06	8.13684640036983e-05	-0.441667964114533	16.5611832125248
AMIGO2	AMIGO2_Q86SJ2	Q86SJ2	1.58031984720399e-06	8.143162412664e-05	-0.654910624021227	13.644874454736
HSPB1	HSPB1_P04792	P04792	1.60090458847051e-06	8.19072744767819e-05	-0.49595806296184	18.9766593994871
RBM6	RBM6_P78332	P78332	1.62779164825416e-06	8.26964010598978e-05	0.403691149649156	17.8379047168813
IDH1	IDH1_O75874	O75874	1.6886925427904e-06	8.51301952735745e-05	-0.4269516924169	16.8019066116809
SETD2	SETD2_Q9BYW2	Q9BYW2	1.71091948959736e-06	8.51301952735745e-05	0.532062295884664	16.194551926195
ASNS	ASNS_P08243	P08243	1.71110040402943e-06	8.51301952735745e-05	-0.591452789787418	18.0750089057881
EXT1	EXT1_Q16394	Q16394	1.72450849316724e-06	8.52096182856747e-05	-0.415032491829891	16.634069669376
SPAST	SPAST_Q9UBP0	Q9UBP0	1.81409243948944e-06	8.90262779488221e-05	0.686031706586835	12.347326184238
NARS	NARS_O43776	O43776	1.85877793553397e-06	9.06028650469059e-05	-0.46466513674822	18.1065556571152
PRKAR1A	PRKAR1A_P10644	P10644	1.87531428306548e-06	9.07954177049285e-05	-0.341895416530036	17.2902190434279
RCN3	RCN3_Q96D15	Q96D15	1.91604300757554e-06	9.20597608057234e-05	0.361425382858375	16.7421105401425
CTDSPL2	CTDSPL2_Q05D32	Q05D32	1.93098417053934e-06	9.20597608057234e-05	0.424574788202767	14.3239768106173
RASAL2	RASAL2_Q9UJF2	Q9UJF2	1.9397121766662e-06	9.20597608057234e-05	-0.527181215154588	16.1596579190147
PTPRS	PTPRS_Q13332	Q13332	2.07869137344563e-06	9.76665980851403e-05	-0.425321782071375	17.0749371865803
ATP6V1C1	ATP6V1C1_P21283	P21283	2.08745421673814e-06	9.76665980851403e-05	-0.557660166628271	16.415139820815
PLOD2	PLOD2_O00469	O00469	2.0984644723034e-06	9.76665980851403e-05	0.498145821286649	16.6825411140782
NDFIP1	NDFIP1_Q9BT67	Q9BT67	2.12816069543381e-06	9.79349148673354e-05	-0.582168171441539	14.9539324294706
ABHD5	ABHD5_Q8WTS1	Q8WTS1	2.13703832355271e-06	9.79349148673354e-05	-0.330404092965679	15.8671167045082
TSG101	TSG101_Q99816	Q99816	2.14495654963113e-06	9.79349148673354e-05	-0.355749516125702	16.8860981030768
GLE1	GLE1_Q53GS7	Q53GS7	2.28873865157451e-06	0.000103842519700997	-0.463187110717769	17.3106482550195
ZMYM3	ZMYM3_Q14202	Q14202	2.36765377309822e-06	0.00010650887934773	0.361443191802618	16.8905866842229
PAICS	PAICS_P22234	P22234	2.38139021212364e-06	0.00010650887934773	-0.400313372574303	17.7850491809326
SUN2	SUN2_Q9UH99	Q9UH99	2.39179906491992e-06	0.00010650887934773	0.396980214846895	17.8588845267395
CHST14	CHST14_Q8NCH0	Q8NCH0	2.44669147042067e-06	0.000107245156741567	0.485135616056079	16.1520679829303
HERC5	HERC5_Q9UII4	Q9UII4	2.44763880914284e-06	0.000107245156741567	0.439152250251835	16.1539177055201
MROH2B	MROH2B_Q7Z745	Q7Z745	2.45356624726172e-06	0.000107245156741567	-0.966028063004577	13.7114897176967
FAM129A	FAM129A_Q9BZQ8	Q9BZQ8	2.4677981728722e-06	0.000107245156741567	-0.316819697462819	18.1787778370623
TMPO	TMPO_P42166	P42166	2.48351996285591e-06	0.000107282113844566	0.377569273690181	18.6352639352827
CD14	CD14_P08571	P08571	2.50708812265891e-06	0.000107655557838461	0.533893519040385	15.7067016005011
PGD	PGD_P52209	P52209	2.56886063148713e-06	0.000109655388139338	-0.412207750670611	17.3309282131453
OPTN	OPTN_Q96CV9	Q96CV9	2.61686776131606e-06	0.000110778332938579	-0.43657951756116	17.0301417003681
IL12RB1	IL12RB1_P42701	P42701	2.62599684548498e-06	0.000110778332938579	-0.710595927892641	14.5891880803451
WHSC1L1	WHSC1L1_Q9BZ95	Q9BZ95	2.6412355510723e-06	0.000110778332938579	0.542539167087234	13.4085784209875
PFKM	PFKM_P08237	P08237	2.66744259998445e-06	0.000111230814545016	-0.523180181740496	16.0414476670505
PGK1	PGK1_P00558	P00558	2.71894423710717e-06	0.000112726803025811	-0.543847545070491	17.976684750646
UPP1	UPP1_Q16831	Q16831	2.73581116646717e-06	0.00011277795288511	-0.800374745557594	15.8949869246584
SMARCA5	SMARCA5_O60264	O60264	2.79504443149187e-06	0.000114427421530391	0.469783156541837	17.437343803044
UBE2K	UBE2K_P61086	P61086	2.80754832421391e-06	0.000114427421530391	-0.395692215990078	16.8734209856737
TPI1	TPI1_P60174	P60174	2.972081643515e-06	0.000120452792001782	-0.342144407765833	17.1921049815567
C11orf54	C11orf54_Q9H0W9	Q9H0W9	3.03700514585278e-06	0.000122008575158064	-0.675154897745236	15.3651758959314
HNRNPUL2	HNRNPUL2_Q1KMD3	Q1KMD3	3.04429491661373e-06	0.000122008575158064	0.382509247083849	18.7324155545239
H2AFX	H2AFX_P16104	P16104	3.07996511375937e-06	0.000122756178622432	0.357119222727999	18.4962409538283
PDIA6	PDIA6_Q15084	Q15084	3.15687331431193e-06	0.000123923578542496	-0.350599155887586	18.7510312555584
CYP1B1	CYP1B1_Q16678	Q16678	3.16062722029614e-06	0.000123923578542496	0.395006703870759	17.1677379894491
GSS	GSS_P48637	P48637	3.16078991569437e-06	0.000123923578542496	-0.502991969805294	18.5443183492996
INCENP	INCENP_Q9NQS7	Q9NQS7	3.19108011047517e-06	0.000124434875226853	0.439327584039127	17.0279823037479
C19orf68	C19orf68_Q86XI8	Q86XI8	3.25796227920624e-06	0.000126359891839752	0.510457931264121	12.7959450536608
ATOX1	ATOX1_O00244	O00244	3.28754956906379e-06	0.000126602476035195	-0.782703273095789	11.8508276652733
PBRM1	PBRM1_Q86U86	Q86U86	3.29931598206497e-06	0.000126602476035195	0.416087624669629	17.9823852062489
ICAM1	ICAM1_P05362	P05362	3.35195055451033e-06	0.000127941647091204	0.549815580140663	17.8336539280376
TXNRD1	TXNRD1_Q16881	Q16881	3.37753560001521e-06	0.000127990179065056	-0.419728041585806	17.6446250666692
TBCE	TBCE_Q15813	Q15813	3.38870587765812e-06	0.000127990179065056	-0.398206813357142	16.5548073813084
UBE2V1	UBE2V1_Q13404	Q13404	3.41992351906321e-06	0.000128496501388135	-0.558755083266853	16.9217395710136
MSTO1	MSTO1_Q9BUK6	Q9BUK6	3.47120786356497e-06	0.000129468074854284	-0.490421511653391	15.8674216773576
HS1BP3	HS1BP3_Q53T59	Q53T59	3.48167542580137e-06	0.000129468074854284	-0.528913245793705	16.2161804839995
TUBB3	TUBB3_Q13509	Q13509	3.56177585875932e-06	0.000131518601098225	-0.383617292512803	17.6048897607682
APOBEC3B	APOBEC3B_Q9UH17	Q9UH17	3.57328053995731e-06	0.000131518601098225	0.353805974885201	16.3533358768754
SWAP70	SWAP70_Q9UH65	Q9UH65	3.72386813137213e-06	0.000136365404567099	-0.405626124030203	17.5615850101551
NDUFA4	NDUFA4_O00483	O00483	3.80074433903118e-06	0.000138477624554399	-0.512476486867154	17.0322204876594
PRKAR1B	PRKAR1B_P31321	P31321	3.91143868985094e-06	0.000141198975489283	-0.539645188980272	15.7020243628467
RAB13	RAB13_P51153	P51153	3.91458207622076e-06	0.000141198975489283	0.567329204999201	15.6339790784701
TMEM192	TMEM192_Q8IY95	Q8IY95	3.97007325019573e-06	0.00014230504994646	-0.390730861832104	16.637179825304
GDI1	GDI1_P31150	P31150	3.98469920837052e-06	0.00014230504994646	-0.470291755357049	17.7672212060203
CA9	CA9_Q16790	Q16790	4.00742938910009e-06	0.000142411801049104	0.569300413156427	15.2511493351318
PCYT2	PCYT2_Q99447	Q99447	4.12573634900845e-06	0.000145897362851701	-0.494889553146312	16.31652918985
APLP2	APLP2_Q06481	Q06481	4.20359556270969e-06	0.000147168883233389	-0.412597205798935	18.6871496797772
SEMA4B	SEMA4B_Q9NPR2	Q9NPR2	4.20580708843515e-06	0.000147168883233389	0.279349871588074	16.5089189817726
EIF2A	EIF2A_Q9BY44	Q9BY44	4.22787548756497e-06	0.000147168883233389	-0.385308082679909	15.7469961343525
GNB4	GNB4_Q9HAV0	Q9HAV0	4.24329466489396e-06	0.000147168883233389	0.526043201104025	15.3215532013691
IMPDH2	IMPDH2_P12268	P12268	4.26978106536353e-06	0.000147378950265706	-0.491537430475775	16.0413161284053
ZC3H13	ZC3H13_Q5T200	Q5T200	4.36313254238024e-06	0.000149883991241576	0.501216719610294	16.4085607099133
PPP1R7	PPP1R7_Q15435	Q15435	4.42695695162999e-06	0.000151355769900752	-0.566330697986537	17.8976167553555
MIEN1	MIEN1_Q9BRT3	Q9BRT3	4.65402595626886e-06	0.000158368600228885	-0.601851885071676	15.252465407418
ATP6V1E1	ATP6V1E1_P36543	P36543	4.68995550758624e-06	0.000158841967285104	-0.536823950159979	15.9662864890583
TUBB4B	TUBB4B_P68371	P68371	4.79722248682005e-06	0.000161715715046354	-0.527259723774101	18.8793244137901
PSMD9	PSMD9_O00233	O00233	4.84389518020563e-06	0.000161966189700443	-0.370258329176028	16.375982950752
SMS	SMS_P52788	P52788	4.84955599879342e-06	0.000161966189700443	-0.552540296697586	15.2423068283148
KMT2A	KMT2A_Q03164	Q03164	4.92757812692405e-06	0.000163813588053595	0.379311096507823	17.4685002966627
HSD17B2	HSD17B2_P37059	P37059	4.95084748323217e-06	0.000163832173137784	-0.944784127096346	13.4372019172448
SMARCA1	SMARCA1_P28370	P28370	5.01970377867001e-06	0.000164647595585054	0.368425893529999	18.5438153913732
IPO4	IPO4_Q8TEX9	Q8TEX9	5.02113543508622e-06	0.000164647595585054	-0.420067870638754	18.7153264263978
SEMA4C	SEMA4C_Q9C0C4	Q9C0C4	5.08426019560834e-06	0.000165963135977912	0.395597295167045	16.0431764967588
RNH1	RNH1_P13489	P13489	5.41530248732256e-06	0.000175972937583536	-0.507299910062596	18.9903386036026
UHRF1	UHRF1_Q96T88	Q96T88	5.57473106761875e-06	0.000180341300097765	0.404163440727732	17.8128245024893
RALY	RALY_Q9UKM9	Q9UKM9	5.62309953889171e-06	0.000180398385924561	0.38353981788805	17.8251179546269
PGLS	PGLS_O95336	O95336	5.63187277891006e-06	0.000180398385924561	-0.569423191878467	17.3587470199837
GAPDH	GAPDH_P04406	P04406	5.65151583295686e-06	0.000180398385924561	-0.428026725709273	19.3206683108871
PRDX1	PRDX1_Q06830	Q06830	5.68264529347152e-06	0.000180592965405743	-0.576440013818274	15.12287128775
YLPM1	YLPM1_P49750	P49750	5.80193632988708e-06	0.000183575301244761	0.29738188548297	18.4665867222286
MFAP3	MFAP3_P55082	P55082	5.84172989861849e-06	0.000184027246675257	-0.378779361436363	14.207230935743
